"Manage Stock", "Lagerstände verwalten"
"In Stock","Auf Lager"
"Out of Stock","Nicht auf Lager"
"Update", "ändern"
"General Settings", "Allgemeine Einstellungen"
"Default Sort By", "Sortierung nach"
"Default Sort Order", "Sortierungsrichtung"
"Auto Update Stock Status When Qty is Changed?", "Setze den Lagerstatus automatisch, wenn der Lagerbestand angepasst wird?"
"Enable", "Aktivieren"
"Action", "Aktion"
"Quantity", "Menge"
"Ascending", "Aufsteigend"
"Descending", "Absteigend"
"Product ID", "Produkt ID"
"Product Name", "Produkt Name"
"Product Qty", "Product Menge"
"Stock Status", "Lagerstand"
"Enable Inline Editing of Stock Inventory", "Aktiviere Inline-Editing für Lagerbestand"
